Time,Ticker,Mean,Std
105,OIH,18.359534542009307,28.624501386390154
110,OIH,18.89600176212146,28.742121153547345
115,OIH,19.420768794913993,28.56470969810283
120,OIH,19.926425646551934,28.399722860761564
5,XME,0.5895707869958989,4.821111501059846
10,XME,1.1553798497999173,6.557868214823258
15,XME,1.705557725437447,8.057587973508998
20,XME,2.286358058393429,9.437543762322823
25,XME,2.8417878482809007,10.650730941503328
30,XME,3.4359891637068474,11.664908076592402
35,XME,4.036612876551459,12.505245351730265
40,XME,4.6206130570271835,13.29751743371611
45,XME,5.208777514809982,14.047793018170978
50,XME,5.8181267813977176,14.84257520537709
55,XME,6.4611565567795175,15.463077600994414
60,XME,7.0622775212171,15.984726648273774
65,XME,7.657218316959467,16.74168063786616
70,XME,8.23702641681554,17.641302413737918
75,XME,8.760795521033442,18.34806707411744
80,XME,9.222284984987558,18.90565589871967
85,XME,9.670155390662352,19.413263566592665
90,XME,10.120043313120766,19.784023421971487
95,XME,10.555906400964533,20.011537579886223
100,XME,10.924921127438486,20.137495789519388
105,XME,11.269699844198415,20.403021583065424
110,XME,11.687839882867781,20.90496912374146
115,XME,12.178784127365082,21.647064266776734
120,XME,12.644765082046,22.212307846764567
5,XRT,0.21196027346583668,4.200002605132063
10,XRT,0.3916008403563229,5.630391213576326
15,XRT,0.575390100335539,7.037074979508618
20,XRT,0.7754440757564701,8.120397400299028
25,XRT,0.959511204749942,9.199077634572365
30,XRT,1.1514777330912993,10.059670303308001
35,XRT,1.3452940844818533,10.915277125722527
40,XRT,1.5273744729780303,11.956968708707672
45,XRT,1.698407687082284,12.91640359222004
50,XRT,1.8854828525729128,13.95889949077806
55,XRT,2.1281643879415495,14.920885629910144
60,XRT,2.3784569910376683,16.06658133514869
65,XRT,2.619777376184677,16.98744830815878
70,XRT,2.830882824555477,18.005478433498123
75,XRT,3.0348654218609092,19.09204502000837
80,XRT,3.260237225925479,20.266418886967628
85,XRT,3.495961622745613,21.371549243589143
90,XRT,3.718084572213109,22.388844495431087
95,XRT,3.9094600729297837,23.271227826648236
100,XRT,4.073299991405274,24.08064717697966
105,XRT,4.179975114347332,24.931669218478987
110,XRT,4.28165361593001,25.896564356558446
115,XRT,4.216524106416703,26.552073215989967
120,XRT,4.236654582146113,27.33975612033134
5,SMH,0.48211918415848254,4.418157169960628
10,SMH,0.9646193323361395,6.244245350599844
15,SMH,1.4251984258483477,7.683784877246405
20,SMH,1.8790752322488264,8.721988499118005
25,SMH,2.268186784406344,9.529944621751278
30,SMH,2.6699311738673503,10.11119765046105
35,SMH,3.0797074362064696,10.632784282904641
40,SMH,3.4694192047934718,11.145236321981866
45,SMH,3.8290667666101657,11.653614419990342
